,county,testedWells,countSamples,MaxConcentration,overLimitWells,overLimitSamples,totalWells,percentTested,percentOverLimit,county_key
0,"Sagadahoc County, Maine",53,84,218.31,7,25,3425,1.5474452554744527,13.20754716981132,Sagadahoc
1,"Aroostook County, Maine",87,167,2290.0,17,39,3231,2.692664809656453,19.54022988505747,Aroostook
2,"Cumberland County, Maine",146,192,285.0,22,34,11779,1.239494014772052,15.068493150684931,Cumberland
3,"York County, Maine",172,243,644.0,26,48,10917,1.5755244114683522,15.11627906976744,York
4,"Hancock County, Maine",49,65,106.0,13,19,7295,0.6716929403701165,26.53061224489796,Hancock
5,"Knox County, Maine",15,26,265.0,5,7,3312,0.4528985507246377,33.33333333333333,Knox
6,"Androscoggin County, Maine",99,144,382.0,7,29,5952,1.663306451612903,7.07070707070707,Androscoggin
7,"Penobscot County, Maine",130,480,3650.0,55,254,6005,2.164862614487927,42.30769230769231,Penobscot
8,"Kennebec County, Maine",296,1450,36000.0,106,720,5880,5.034013605442176,35.810810810810814,Kennebec
9,"Washington County, Maine",43,274,1674.873,29,167,4577,0.939480008739349,67.44186046511628,Washington
10,"Somerset County, Maine",506,4279,54100.0,224,2288,2539,19.929105947223317,44.26877470355731,Somerset
11,"Oxford County, Maine",23,40,2560.0,3,13,4985,0.4613841524573721,13.043478260869565,Oxford
12,"Waldo County, Maine",297,776,23900.0,108,368,3554,8.35678109172763,36.36363636363637,Waldo
13,"Lincoln County, Maine",74,95,339.0,22,34,5213,1.4195281028198734,29.72972972972973,Lincoln
14,"Franklin County, Maine",8,8,83.3,1,1,2955,0.2707275803722504,12.5,Franklin
